event,edate,start_time,end_time
1,2023-06-19,16:00:00,17:00:00
1,2023-06-05,16:00:00,17:00:00
1,2023-06-12,16:00:00,17:00:00
2,2023-04-24,16:00:00,17:00:00
2,2023-04-03,16:00:00,17:00:00
2,2023-04-10,16:00:00,17:00:00
2,2023-04-17,16:00:00,17:00:00
3,2023-04-10,18:30:00,19:30:00
4,2023-06-23,11:00:00,12:00:00
5,2023-03-15,14:00:00,15:00:00
6,2023-03-12,14:00:00,15:00:00
7,2023-05-08,16:00:00,17:00:00
7,2023-05-15,16:00:00,17:00:00
7,2023-05-22,16:00:00,17:00:00
7,2023-05-29,16:00:00,17:00:00
7,2023-05-01,16:00:00,17:00:00
8,2023-03-20,16:00:00,17:00:00
8,2023-03-27,16:00:00,17:00:00
8,2023-03-06,16:00:00,17:00:00
9,2023-02-27,16:00:00,17:00:00
10,2023-05-19,10:00:00,12:00:00
10,2023-05-12,10:00:00,12:00:00
10,2023-05-26,10:00:00,12:00:00
10,2023-06-02,10:00:00,12:00:00
10,2023-06-09,10:00:00,12:00:00
10,2023-06-16,10:00:00,12:00:00
10,2023-05-05,10:00:00,12:00:00
11,2023-03-22,18:30:00,19:30:00
12,2023-05-26,14:30:00,16:00:00
13,2023-03-01,19:00:00,20:00:00
14,2023-06-08,13:00:00,14:30:00
15,2023-03-13,19:00:00,20:00:00
16,2023-05-11,18:30:00,20:00:00
17,2023-05-07,19:00:00,20:00:00
18,2023-05-02,19:00:00,20:00:00
19,2023-05-01,19:00:00,20:00:00
20,2023-04-17,19:00:00,20:00:00
21,2023-03-23,19:00:00,20:00:00
22,2023-03-05,19:00:00,20:00:00
23,2023-04-25,19:00:00,20:00:00
24,2023-04-11,19:00:00,20:00:00
25,2023-05-18,19:00:00,20:00:00
26,2023-04-23,19:00:00,20:00:00
27,2023-04-13,19:00:00,20:00:00
28,2023-04-03,19:00:00,20:00:00
29,2023-03-29,19:00:00,20:00:00
30,2023-04-25,18:00:00,19:00:00
31,2023-05-18,18:00:00,19:00:00
32,2023-04-13,18:00:00,19:00:00
33,2023-05-08,19:00:00,20:00:00
34,2023-03-14,19:00:00,20:00:00
35,2023-03-16,16:00:00,17:00:00
36,2023-03-14,13:00:00,14:00:00
37,2023-03-21,13:00:00,15:00:00
