library,day,start_time,end_time
AG   ,mon,09:00:00,20:00:00
AG   ,tue,09:00:00,20:00:00
AG   ,wed,09:00:00,20:00:00
AG   ,thu,09:00:00,20:00:00
AG   ,fri,09:00:00,20:00:00
AG   ,sat,09:00:00,17:00:00
AG   ,sun,13:30:00,17:30:00
ACD  ,mon,09:00:00,20:00:00
ACD  ,tue,09:00:00,20:00:00
ACD  ,wed,09:00:00,20:00:00
ACD  ,thu,09:00:00,20:00:00
ACD  ,fri,09:00:00,20:00:00
ACD  ,sat,09:00:00,17:00:00
ACD  ,sun,13:30:00,17:30:00
AB   ,mon,09:00:00,20:00:00
AB   ,tue,09:00:00,20:00:00
AB   ,wed,09:00:00,20:00:00
AB   ,thu,09:00:00,20:00:00
AB   ,fri,09:00:00,20:00:00
AB   ,sat,09:00:00,17:00:00
AB   ,sun,13:30:00,17:30:00
AD   ,mon,10:00:00,20:00:00
AD   ,tue,10:00:00,18:00:00
AD   ,wed,10:00:00,18:00:00
AD   ,thu,12:30:00,20:30:00
AD   ,fri,10:00:00,18:00:00
AD   ,sat,09:00:00,17:00:00
AP   ,tue,12:30:00,20:30:00
AP   ,wed,10:00:00,18:00:00
AP   ,thu,12:30:00,20:30:00
AP   ,fri,10:00:00,18:00:00
AP   ,sat,09:00:00,17:00:00
AN   ,mon,10:00:00,20:00:00
AN   ,tue,12:30:00,20:30:00
AN   ,wed,10:00:00,18:00:00
AN   ,thu,12:30:00,20:30:00
AN   ,fri,10:00:00,18:00:00
AN   ,sat,09:00:00,17:00:00
AH   ,tue,10:00:00,18:00:00
AH   ,wed,12:30:00,20:30:00
AH   ,thu,10:00:00,18:00:00
AH   ,fri,10:00:00,18:00:00
AH   ,sat,09:00:00,17:00:00
BF   ,mon,09:00:00,20:00:00
BF   ,tue,09:00:00,20:00:00
BF   ,wed,09:00:00,20:00:00
BF   ,thu,09:00:00,20:00:00
BF   ,fri,09:00:00,20:00:00
BF   ,sat,09:00:00,17:00:00
BF   ,sun,13:30:00,17:30:00
BY   ,mon,09:00:00,20:00:00
BY   ,tue,09:00:00,20:00:00
BY   ,wed,09:00:00,20:00:00
BY   ,thu,09:00:00,20:00:00
BY   ,fri,09:00:00,20:00:00
BY   ,sat,09:00:00,17:00:00
BE   ,mon,09:00:00,20:00:00
BE   ,tue,09:00:00,20:00:00
BE   ,wed,09:00:00,20:00:00
BE   ,thu,09:00:00,20:00:00
BE   ,fri,09:00:00,17:00:00
BE   ,sat,09:00:00,17:00:00
BD   ,tue,12:30:00,20:30:00
BD   ,wed,10:00:00,18:00:00
BD   ,thu,12:30:00,20:30:00
BD   ,fri,10:00:00,18:00:00
BD   ,sat,09:00:00,17:00:00
BC   ,tue,12:30:00,20:30:00
BC   ,wed,10:00:00,18:00:00
BC   ,thu,12:30:00,20:30:00
BC   ,fri,10:00:00,18:00:00
BC   ,sat,09:00:00,17:00:00
BL   ,mon,09:00:00,20:00:00
BL   ,tue,09:00:00,20:00:00
BL   ,wed,09:00:00,20:00:00
BL   ,thu,09:00:00,20:00:00
BL   ,fri,09:00:00,20:00:00
