checkout,return_time
1,2023-03-05 19:00:00
2,2022-09-21 16:00:00
3,2022-04-25 19:00:00
4,2022-06-14 19:00:00
5,2023-03-20 19:00:00
6,2023-04-14 19:00:00
7,2021-09-10 19:00:00
8,2023-01-04 16:00:00
9,2021-11-22 19:00:00
10,2021-12-18 19:00:00
11,2021-07-24 19:00:00
12,2022-03-06 19:00:00
13,2022-09-10 17:00:00
14,2022-07-25 19:00:00
15,2022-10-10 19:00:00
16,2023-07-28 19:00:00
17,2023-04-06 19:00:00
18,2021-10-31 19:00:00
19,2021-10-23 17:00:00
20,2022-03-13 19:30:00
21,2021-08-14 19:30:00
22,2023-03-12 13:30:00
23,2022-06-21 17:00:00
24,2022-11-01 17:00:00
25,2022-08-27 19:30:00
26,2023-02-08 16:00:00
27,2023-04-06 19:00:00
28,2022-10-13 16:30:00
29,2022-09-10 19:00:00
30,2022-07-26 19:00:00
31,2022-05-14 19:00:00
32,2021-11-28 19:00:00
33,2021-09-13 19:00:00
34,2021-10-28 16:30:00
35,2021-09-16 16:30:00
36,2022-06-14 17:00:00
37,2021-12-26 11:00:00
38,2023-08-10 19:00:00
39,2022-10-07 19:00:00
40,2021-07-26 19:00:00
41,2022-03-20 17:00:00
42,2022-03-11 19:00:00
43,2023-01-23 19:00:00
44,2023-06-25 19:00:00
45,2021-12-31 17:00:00
46,2021-12-11 13:30:00
47,2021-10-26 16:00:00
48,2021-08-25 16:00:00
49,2022-05-31 16:00:00
50,2022-06-04 19:00:00
51,2022-04-19 19:00:00
52,2022-05-20 19:00:00
53,2021-08-17 19:00:00
54,2021-08-01 19:00:00
55,2022-01-14 19:00:00
56,2022-03-06 19:00:00
57,2021-09-14 19:00:00
58,2021-10-19 19:00:00
59,2023-05-16 16:00:00
60,2023-06-28 16:30:00
61,2023-02-21 16:00:00
62,2022-04-24 19:00:00
63,2022-09-04 19:00:00
64,2021-12-29 16:00:00
65,2022-04-15 19:00:00
66,2021-10-10 17:00:00
67,2021-07-18 17:00:00
68,2022-04-07 14:30:00
69,2022-11-02 16:00:00
70,2022-07-28 16:30:00
71,2022-06-14 17:00:00
72,2023-05-09 16:00:00
73,2022-09-04 17:00:00
74,2023-02-22 16:00:00
75,2023-06-12 17:00:00
76,2023-02-22 16:00:00
77,2022-08-07 19:00:00
78,2022-05-28 19:00:00
79,2021-12-31 19:00:00
80,2022-02-21 13:30:00
81,2022-02-01 19:00:00
82,2022-09-15 14:30:00
83,2023-06-24 19:00:00
84,2022-09-21 16:00:00
85,2021-08-28 19:30:00
86,2023-03-16 19:00:00
87,2021-11-13 19:30:00
88,2021-12-06 19:30:00
89,2022-03-19 19:30:00
90,2021-10-19 17:00:00
91,2022-09-17 19:30:00
92,2021-10-23 19:30:00
93,2022-03-06 19:00:00
94,2022-12-30 19:00:00
95,2022-11-23 16:00:00
96,2022-04-27 16:00:00
97,2022-04-08 17:00:00
98,2021-11-26 17:00:00
99,2022-07-27 16:00:00
100,2022-02-13 17:00:00
101,2021-10-23 19:30:00
102,2023-06-29 19:00:00
103,2021-11-16 16:00:00
104,2022-01-28 19:00:00
105,2022-03-20 19:00:00
106,2022-07-26 16:00:00
107,2022-05-28 19:00:00
108,2023-01-17 16:00:00
109,2022-03-08 16:00:00
110,2022-06-03 19:00:00
111,2023-02-24 19:00:00
112,2021-11-30 16:00:00
113,2021-12-14 16:00:00
114,2022-07-29 19:00:00
115,2022-06-19 19:00:00
116,2021-12-05 19:00:00
117,2023-07-03 19:00:00
118,2022-02-04 19:00:00
119,2023-05-14 19:00:00
120,2022-10-14 19:00:00
121,2022-10-16 19:00:00
122,2021-08-18 16:00:00
